Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
171-5474691-9271502,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,XL,Shipped,1,INR,690,TIRUPATI,ANDHRA PRADESH,517501
171-7013838-1443562,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,L,Shipped,1,INR,487,BENGALURU,KARNATAKA,560070
402-1252447-3033103,27-04-2022,Shipped,Amazon,Amazon.in,Perfume,Free,Shipped,1,INR,791,BHUBANESWAR,ODISHA,751002
406-8628138-9152322,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,696,AGRA,UTTAR PRADESH,282005
406-8628138-9152322,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,788,AGRA,UTTAR PRADESH,282005
408-2419826-6081160,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,3XL,Shipped,1,INR,399,GUNTUR,ANDHRA PRADESH,522002
406-1777144-9705906,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,XL,Shipped,1,INR,459,Nagercoil,TAMIL NADU,629002
403-0842292-6462719,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,L,Shipped,1,INR,597,HYDERABAD,TELANGANA,500018
405-2205169-1319520,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,M,Shipped,1,INR,353,HYDERABAD,TELANGANA,500005
404-0915155-1388341,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,597,"Vinobanagar,Shimoga",KARNATAKA,577204
402-5558864-3656354,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,824,Bengaluru,KARNATAKA,560035
402-5558864-3656354,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,788,Bengaluru,KARNATAKA,560035
171-6549821-3727534,27-04-2022,Delivered,Merchant,Amazon.in,Trousers,M,Shipped,1,INR,839,VAPI,Gujarat,396191
402-7551402-0064368,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,3XL,Shipped,1,INR,368,NEW DELHI,DELHI,110092
402-7551402-0064368,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,3XL,Shipped,1,INR,399,NEW DELHI,DELHI,110092
405-2407593-7066768,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,3XL,Shipped,1,INR,571,LUDHIANA,PUNJAB,142022
407-8801117-6184302,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,L,Shipped,1,INR,458,FARIDABAD,HARYANA,121001
407-4823803-4018765,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,M,Shipped,1,INR,399,MUDIGERE,KARNATAKA,577113
408-4545334-7198702,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,S,Shipped,1,INR,597,KARIMNAGAR,TELANGANA,505451
408-4545334-7198702,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,S,Shipped,1,INR,636,KARIMNAGAR,TELANGANA,505451
406-9966630-0097917,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,L,On the Way,0,,,HYDERABAD,TELANGANA,500018
403-7738448-8729936,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XL,Shipped,1,INR,599,IMPHAL,MANIPUR,795001
407-8123671-9321136,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,571,HYDERABAD,TELANGANA,500032
403-2881657-1567539,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,XXL,Shipped,1,INR,342,PUNE,MAHARASHTRA,411040
403-1904374-9303516,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XXL,Shipped,1,INR,363,PUNE,MAHARASHTRA,411040
406-7904006-2091502,27-04-2022,Cancelled,Amazon,Amazon.in,Shirt,XS,Cancelled,0,,,GURGAON,HARYANA,122001
403-4534592-1445149,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,L,On the Way,0,,,HARDOI,UTTAR PRADESH,241001
